Country,Continent,Rank,Title,Artists,Album,Explicit,Duration,Popularity
Argentina,South America,33,High,Maria Becerra,High,1,3:07,39
Argentina,South America,34,Ya No Más,"Fer Palacio, DJ Alex, Santiago Saez",Ya No Más,0,2:38,37
Argentina,South America,35,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",death bed (coffee for your head) (feat. beabadoobee),0,2:53,27
Argentina,South America,36,Flasheaste Amor,"Agapornis, Hernan y La Champion's Liga, Lauro",Flasheaste Amor,0,2:55,16
Argentina,South America,37,Como Llora,Juanfran,Como Llora,0,3:07,2
Argentina,South America,38,Si Me Dices Que Sí,"Reik, Farruko, Camilo",Si Me Dices Que Sí,0,3:31,55
Argentina,South America,39,Tutu,"Camilo, Pedro Capó",Por Primera Vez,0,2:59,32
Argentina,South America,40,Muévelo,"Nicky Jam, Daddy Yankee",Muévelo,0,3:14,80
Argentina,South America,41,Dónde Estás,KHEA,Dónde Estás,0,2:33,34
Argentina,South America,42,Recuerdo,"TINI, Mau y Ricky",Recuerdo,0,3:20,90
Argentina,South America,43,Bounce,Cazzu,Bonus Trap,0,2:13,12
Argentina,South America,44,La Cama - Remix,"Lunay, Myke Towers, Ozuna, Chencho Corleone, Rauw Alejandro",La Cama (Remix),0,5:30,34
Argentina,South America,45,BYE ME FUI,Bad Bunny,LAS QUE NO IBAN A SALIR,1,2:58,45
Argentina,South America,46,La Pared 360,"Lenny Tavárez, Justin Quiles",La Pared 360,1,2:34,46
Argentina,South America,47,Moon,"Maria Becerra, DANI",Moon,0,3:22,78
Argentina,South America,48,Bellaquita - Remix,"Dalex, Lenny Tavárez, Anitta, Natti Natasha, Farruko, Justin Quiles",Modo Avión,1,5:04,23
Argentina,South America,49,ALGO DEL VACÍO,"WOS, Manu Oliva",Tres Puntos Suspensivos,0,3:33,89
Argentina,South America,50,Par-Tusa,El Dipy,Par-Tusa,1,3:10,12
Australia,Australia,1,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01,56
Australia,Australia,2,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),1,2:56,34
Australia,Australia,3,Blinding Lights,The Weeknd,After Hours,0,3:20,30
Australia,Australia,4,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02,33
Australia,Australia,5,Toosie Slide,Drake,Dark Lane Demo Tapes,1,4:07,76
Australia,Australia,6,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",Stuck with U,0,3:48,89
Australia,Australia,7,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",death bed (coffee for your head) (feat. beabadoobee),0,2:53,23
Australia,Australia,8,Supalonely,"BENEE, Gus Dapperton",STELLA & STEVE,1,3:43,43
Australia,Australia,9,Break My Heart,Dua Lipa,Future Nostalgia,0,3:41,10
Australia,Australia,10,Don't Start Now,Dua Lipa,Future Nostalgia,0,3:03,98
Australia,Australia,11,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,1,2:45,65
Australia,Australia,12,Intentions (feat. Quavo),"Justin Bieber, Quavo",Changes,0,3:32,23
Australia,Australia,13,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),0,2:56,87
Australia,Australia,14,Sunday Best,Surfaces,Where the Light Is,0,2:38,23
Australia,Australia,15,Watermelon Sugar,Harry Styles,Fine Line,0,2:54,76
Australia,Australia,16,Blueberry Faygo,Lil Mosey,Certified Hitmaker,1,2:42,18
Australia,Australia,17,In Your Eyes,The Weeknd,After Hours,1,3:57,19
Australia,Australia,18,Be Kind (with Halsey),"Marshmello, Halsey",Be Kind (with Halsey),0,2:52,13
Australia,Australia,19,Boss Bitch,Doja Cat,Boss Bitch,0,2:14,45
Australia,Australia,20,Pump It Up,Endor,Pump It Up,0,2:30,65
Australia,Australia,21,Savage Remix (feat. Beyoncé),"Megan Thee Stallion, Beyoncé",Savage Remix (feat. Beyoncé),1,4:02,81
Australia,Australia,22,Breaking Me,"Topic, A7S",Breaking Me,0,2:46,90
Australia,Australia,23,GOOBA,6ix9ine,GOOBA,1,2:12,19
Australia,Australia,24,WHATS POPPIN,Jack Harlow,Sweet Action,1,2:19,56
Australia,Australia,25,The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,1,3:16,58
Australia,Australia,26,This City,Sam Fischer,This City,0,3:14,45
Australia,Australia,27,After Party,Don Toliver,Heaven Or Hell,1,2:47,39
Australia,Australia,28,Say So (feat. Nicki Minaj),"Doja Cat, Nicki Minaj",Say So (feat. Nicki Minaj),1,3:26,37
Australia,Australia,29,Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,0,3:29,27
Australia,Australia,30,Circles,Post Malone,Hollywood's Bleeding,0,3:35,16
Australia,Australia,31,Party Girl,StaySolidRocky,Party Girl,0,2:27,2
Australia,Australia,32,Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,0,3:02,55
Australia,Australia,33,If the World Was Ending - feat. Julia Michaels,"JP Saxe, Julia Michaels",If the World Was Ending (feat. Julia Michaels),0,3:28,32
Australia,Australia,34,Rover (feat. DTG),"S1mba, DTG",Rover (feat. DTG),1,2:47,80
Australia,Australia,35,Adore You,Harry Styles,Fine Line,0,3:27,34
